ocid,tender/id,tender/title,buyer/name,tenderclassification/description,tender/procurementMethod,amount,num_tenderers,duration_days,flag_single_bidder,flag_zero_bidders,flag_short_window,flag_non_open,flag_high_value,flag_buyer_concentration,flag_round_amount,ml_anomaly_flag,anomaly_score,risk_score,risk_tier,risk_explanation
ocds-kjhdrl-2016_SWD_1199_1,2016_SWD_1199_1,Uniform Saree/Chadar and Mekhela to 14936 AWWs and 13689 AWHs,Social Welfare Department,Uniforms/Curtains/Clothes,Open Tender,17175000.0,15,45,0,0,0,0,1,1,0,1,0.3970254941880067,33.0,🟡 Medium,Contract value above 95th percentile for this category; This buyer dominates >70% of contracts in this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_ICD_2353_2,2017_ICD_2353_2,CATHODIC PROTECTION,Industries and Commerce Department,Survey,Open Tender,1500000.0,1,180,1,0,0,0,0,1,1,0,0.11774168635079396,32.68,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing)
ocds-kjhdrl-2017_DHTS_1646_6,2017_DHTS_1646_6,Construction of HTC Building at Bihali in Sonitpur District for 2016-17,Department of Handloom Textile and Sericulture,Construction Works,Open Tender,4000000.0,1,180,1,0,0,0,0,1,1,0,0.09299031755575293,32.3,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing)
ocds-kjhdrl-2016_NHM_1113_1,2016_NHM_1113_1,RASHTRIYA SWASTHYA BIMA YOJNA AND SENIOR CITIZENS HEALTH INSURANCE SCHEME,National Health Mission,Miscellaneous Services,Open Tender,500000000.0,6,180,0,0,0,0,1,0,1,1,0.5663942414006826,31.68,🟡 Medium,Contract value above 95th percentile for this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_HFWD_3727_1,2017_HFWD_3727_1,TNEIF RADIOLOGY,Health and Family Welfare Department,Medical Equipments/Waste,Open Tender,15000000.0,7,730,0,0,0,0,0,1,1,1,0.5634110143418569,31.63,🟡 Medium,This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_DOT_1075_1,2016_DOT_1075_1,Project at Dibru Saikhowa,Department of Tourism,Civil Works,Open Tender,178946910.0,1,180,1,0,0,0,1,0,0,0,0.3027127820935611,31.59,🟡 Medium,Only 1 bidder submitted (possible bid-rigging); Contract value above 95th percentile for this category
ocds-kjhdrl-2016_DoIT_1054_1,2016_DoIT_1054_1,Supply of Laptop,Principal Secretary-Department of Information Technology,Computer- H/W,Open Tender,1150000000.0,4,180,0,0,0,0,1,0,1,1,0.5517103659653464,31.46,🟡 Medium,Contract value above 95th percentile for this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_HFWD_3728_1,2017_HFWD_3728_1,TNEIF CARDIOLOGY,Health and Family Welfare Department,Medical Equipments/Waste,Open Tender,10000000.0,7,730,0,0,0,0,0,1,1,1,0.5394726490943138,31.27,🟡 Medium,This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_HFWD_3725_1,2017_HFWD_3725_1,TENDER TNEIF MICROBIOLOGY,Health and Family Welfare Department,Medical Equipments/Waste,Open Tender,10000000.0,7,730,0,0,0,0,0,1,1,1,0.5394726490943138,31.27,🟡 Medium,This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_NHM_2019_1,2017_NHM_2019_1,Printing and Supply Booklet,National Health Mission,Supply of Materials,Open Tender,70000000.0,0,90,0,1,0,0,1,0,1,0,0.28125129016155515,31.26,🟡 Medium,No bidders recorded (may be pre-awarded); Contract value above 95th percentile for this category; Contract amount is suspiciously round (possible fixed pricing)
ocds-kjhdrl-2016_SWD_1213_1,2016_SWD_1213_1,Expression of Interest for Supply of Rice- Fine variety- Aijong (old) and White Peas,Social Welfare Department,Food Products,Open Tender,8206496.5,96,45,0,0,0,0,0,1,0,1,0.7788763603615795,31.0,🟡 Medium,This buyer dominates >70% of contracts in this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_SSA_1108_1,2016_SSA_1108_1,E-Tender for Hiring Godown,Axom Sarba Siksha Abhijan Mission,Allotment of Space,Open Tender,4000000.0,0,90,0,1,0,0,0,1,1,0,0.20076635027689937,30.06,🟡 Medium,No bidders recorded (may be pre-awarded); This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing)
ocds-kjhdrl-2017_BTC_2195_1,2017_BTC_2195_1,BTC/OTSG-07,Bodoland Territorial Council-PWD,Civil Works,Open Tender,257379280.0,2,180,0,0,0,0,1,0,0,1,0.6965823573455774,29.77,🟢 Low,Contract value above 95th percentile for this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_PWD_1765_2,2017_PWD_1765_2,BAL_KMP_11th_16-17_3A,Public Works Roads Department,Civil Works,Open Tender,52191000.0,1,180,1,0,0,0,1,0,0,0,0.16175282596591867,29.47,🟢 Low,Only 1 bidder submitted (possible bid-rigging); Contract value above 95th percentile for this category
ocds-kjhdrl-2017_DoIT_1655_1,2017_DoIT_1655_1,SDC RFP,Principal Secretary-Department of Information Technology,Supply/Erection/Commissioning Services,Open Tender,800000000.0,3,180,0,0,0,0,1,0,1,1,0.41876587832054135,29.46,🟢 Low,Contract value above 95th percentile for this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_SNT_1642_1,2017_SNT_1642_1,"Design, Supply, Installation, Testing and Commissioning with Five Years Warranty cum Mandatory Comprehensive Maintenance Contract (CMC) of Aggregate Capacity 450 KWp Solar Photovoltaic Power Plants at seven Govt. Polytechnics  in Assam",Department of Science and Technology,Electrical Works,Open Tender,64000000.0,3,365,0,0,0,0,1,0,1,1,0.4057009882922258,29.27,🟢 Low,Contract value above 95th percentile for this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_DAASC_3117_1,2017_DAASC_3117_1,"e-FOE for Supply, installation, commissioning, testing and after sales service of Solar Photo Voltaic(SPV) Pump Set System for Irrigation Purpose",Directorate of Agriculture and Assam Seed Corporation,Farm Machinery and Equipments,Open Tender,8206496.5,1,90,1,0,0,0,0,1,0,0,0.14833570551809672,29.27,🟢 Low,Only 1 bidder submitted (possible bid-rigging); This buyer dominates >70% of contracts in this category
ocds-kjhdrl-2017_NHM_2361_1,2017_NHM_2361_1,For operationalization of Dialysis facility at district/ sub-district hospital,National Health Mission,Miscellaneous Services,Open Tender,360000000.0,2,180,0,0,0,0,1,0,1,1,0.40008600404593886,29.18,🟢 Low,Contract value above 95th percentile for this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_SWD_1196_1,2016_SWD_1196_1,Pre School Kits to 15707 AWCs and 1455 Mini AWCs,Social Welfare Department,Miscellaneous Goods,Open Tender,49303500.0,34,45,0,0,0,0,1,0,0,1,0.6537998810716518,29.13,🟢 Low,Contract value above 95th percentile for this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_HFWD_1261_1,2016_HFWD_1261_1,SUPPLY AND INSTALLATION OF Various equipments in department of Urology for GMCH.,Health and Family Welfare Department,Medical Equipments/Waste,Open Tender,10000000.0,8,365,0,0,0,0,0,1,1,1,0.39447898349964394,29.1,🟢 Low,This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_BTC_2196_1,2017_BTC_2196_1,BTC/OTSG-08,Bodoland Territorial Council-PWD,Civil Works,Open Tender,202436217.0,2,180,0,0,0,0,1,0,0,1,0.6425945008610907,28.96,🟢 Low,Contract value above 95th percentile for this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_HFWD_1260_1,2016_HFWD_1260_1,SUPPLY AND INSTALLATION OF C-ARM Machine for GMCH.,Health and Family Welfare Department,Medical Equipments/Waste,Open Tender,3000000.0,2,365,0,0,0,0,0,1,1,1,0.38199370397319077,28.91,🟢 Low,This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_HFWD_1329_1,2016_HFWD_1329_1,SUPPUY OF EQUIPMENTS FOR 200 BEBBED CANCER HOSPITAL GMCH GUWAHATI,Health and Family Welfare Department,Medical Equipments/Waste,Open Tender,10000000.0,7,365,0,0,0,0,0,1,1,1,0.3795889096074262,28.88,🟢 Low,This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_SWD_1198_1,2016_SWD_1198_1,Pre-School Kits to 15766 AWCs and 1243 Mini AWCs,Social Welfare Department,Miscellaneous Goods,Open Tender,49162500.0,31,45,0,0,0,0,1,0,0,1,0.6359084277327096,28.86,🟢 Low,Contract value above 95th percentile for this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_HFWD_1596_1,2017_HFWD_1596_1,"supply and installation of dialysis machine in GMCH, Ghy-32",Health and Family Welfare Department,Medical Equipments/Waste,Open Tender,3000000.0,3,365,0,0,0,0,0,1,1,1,0.37761942344168997,28.85,🟢 Low,This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_HFWD_2188_1,2017_HFWD_2188_1,supply andinstallation of anesthesia workstation (high end and medium end),Health and Family Welfare Department,Medical Equipments/Waste,Open Tender,20000000.0,2,365,0,0,0,0,0,1,1,1,0.3629735646778143,28.63,🟢 Low,This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_HFWD_1256_1,2016_HFWD_1256_1,"HIGH DOSE RATE REMOTE CONTROLLED BRACHY THERAPY SYSTEM AT 200 BEDDED CANCER HOSPITAL , G.M.C.H., GUWAHATI, ASSAM",Health and Family Welfare Department,Medical Equipments/Waste,Open Tender,20000000.0,2,365,0,0,0,0,0,1,1,1,0.3629735646778143,28.63,🟢 Low,This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_HFWD_1259_1,2016_HFWD_1259_1,SUPPLY AND INSTALLATION OF ANESTHESIA WORKSTATION AND BOYLES MACHINE IN GMCH,Health and Family Welfare Department,Medical Equipments/Waste,Open Tender,20000000.0,3,365,0,0,0,0,0,1,1,1,0.3578480893565138,28.55,🟢 Low,This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_HFWD_1124_1,2016_HFWD_1124_1,MOULD ROOM EQUIPMENTS,Health and Family Welfare Department,Medical Equipments/Waste,Open Tender,5000000.0,3,365,0,0,0,0,0,1,1,1,0.35285921245002005,28.47,🟢 Low,This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_NHM_992_1,2016_NHM_992_1,e-TENDER FOR SUPPLY OF DRUGS,National Health Mission,Medicines,Open Tender,18400000.0,17,90,0,0,0,0,0,1,1,1,0.35221051645962453,28.46,🟢 Low,This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_DoWR_1915_1,2017_DoWR_1915_1,Panikhaitipk1,Department of Water Resources,Civil Works,Open Tender,70000000.0,2,180,0,0,0,0,1,0,1,1,0.35171450882748856,28.46,🟢 Low,Contract value above 95th percentile for this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_HFWD_1238_1,2016_HFWD_1238_1,SUPPLY AND INSTALLATION OF HD VIDEO ENDOSCOPE WITH LED LIGHT SOURCE AND VIDEO BRONCHOSCOPE for GMCH,Health and Family Welfare Department,Medical Equipments/Waste,Open Tender,6500000.0,2,365,0,0,0,0,0,1,1,1,0.34884327955718586,28.41,🟢 Low,This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_ICD_1931_1,2017_ICD_1931_1,INSURANCE/DNPL/11/47/30,Industries and Commerce Department,Miscellaneous Services,Limited,1.0,3,60,0,0,0,1,0,0,0,1,0.6028255466041796,28.36,🟢 Low,Non-open procurement method: Limited; ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_DoWR_1892_1,2017_DoWR_1892_1,Kumatiya,Department of Water Resources,Civil Works,Open Tender,106075563.0,12,180,0,0,0,0,1,0,0,1,0.6009230088272375,28.33,🟢 Low,Contract value above 95th percentile for this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_PWD_1592_4,2017_PWD_1592_4,Kamrup/RIDF-XXII/12,Public Works Roads Department,Civil Works,Open Tender,317209000.0,2,180,0,0,0,0,1,0,0,1,0.5997647020169196,28.31,🟢 Low,Contract value above 95th percentile for this category; ML model flagged this as a statistical outlier
ocds-kjhdrl-2016_HFWD_1263_1,2016_HFWD_1263_1,SUPPLY AND INSTALLATION OF LAPAROSCOPY EQUIPMENTS for GMCH.,Health and Family Welfare Department,Medical Equipments/Waste,Open Tender,6500000.0,3,365,0,0,0,0,0,1,1,1,0.34165247396891485,28.31,🟢 Low,This buyer dominates >70% of contracts in this category; Contract amount is suspiciously round (possible fixed pricing); ML model flagged this as a statistical outlier
ocds-kjhdrl-2017_BTC_2197_1,2017_BTC_2197_1,BTC/OTSG-09,Bodoland Territorial Council-PWD,Civil Works,Open Tender,156461407.0,2,180,0,0,0,0,1,0,0,1,0.5960067082243212,28.26,🟢 Low,Contract value above 95th percentile for this category; ML model flagged this as a statistical outlier
